old_name,new_id
Ping Tom Park (East),20260
Hampden Ct & Diversey Ave,202480
Ashland Ave & 69th St,null
Central Park Ave & Douglas Blvd,null
Chicago Ave & Dempster St,null
Chicago Ave & Dempster St,null
Damen Ave & Wabansia Ave,null
Harding Ave & 26th St,null
Homan Ave & Fillmore St,null
Jeffery Blvd & 91st St,null
Keeler Ave & Roosevelt Rd,null
Kildare Ave & 26th St,null
Komensky Ave & 31st St,null
Lawndale Ave & 30th St,null
N Shore Channel Trail & Argyle Ave,null
Pulaski Rd & 21st St,null
Spaulding Ave & 16th St,null
Throop/Hastings Mobile Station,null
Tripp Ave & 31st St,null
Whipple St & Irving Park Rd,null
